index,stream,season,reach.original,reach,carbon,cr.area,cr.afdm,nrr
395,Amberly,Autumn,Buried Down,Buried,Arabinose,9.53896852,6.799786364,3.269942708
396,Amberly,Autumn,Buried Down,Buried,Arabinose,10.36223836,20.860928,3.552158255
397,Amberly,Autumn,Buried Down,Buried,Arabinose,9.531100646,10.63650838,3.267245613
398,Amberly,Autumn,Buried Down,Buried,Arabinose,8.815049523,19.22918049,3.021784467
399,Amberly,Autumn,Buried Down,Buried,Arabinose,7.333716342,14.96416,2.513985891
400,Amberly,Autumn,Buried Down,Buried,Arabinose,9.963145613,10.1208096,3.415349917
401,Amberly,Autumn,Buried Down,Buried,Arabinose,4.201602063,1.358281731,1.440302271
402,Amberly,Autumn,Buried Down,Buried,Arabinose,4.463037178,13.30295094,1.529921798
403,Amberly,Autumn,Buried Down,Buried,Cellobiose,10.95124123,38.88381738,3.754067468
404,Amberly,Autumn,Buried Down,Buried,Cellobiose,11.01737046,14.02407469,3.776736458
405,Amberly,Autumn,Buried Down,Buried,Cellobiose,12.906069,14.42350183,4.424179209
406,Amberly,Autumn,Buried Down,Buried,Cellobiose,3.053627464,6.26282013,1.046778468
407,Amberly,Autumn,Buried Down,Buried,Cellobiose,6.330376147,21.47693803,2.170042523
408,Amberly,Autumn,Buried Down,Buried,Cellobiose,4.962676092,3.355358152,1.701197196
409,Amberly,Autumn,Buried Down,Buried,Cellobiose,11.04329359,21.07479213,3.785622865
410,Amberly,Autumn,Buried Down,Buried,Cellobiose,11.28573572,19.90536026,3.868731629
379,Amberly,Autumn,Buried Down,Buried,Control,2.709577503,16.04570132,
380,Amberly,Autumn,Buried Down,Buried,Control,3.731829507,6.95520715,
381,Amberly,Autumn,Buried Down,Buried,Control,4.32267575,15.11682255,
382,Amberly,Autumn,Buried Down,Buried,Control,2.200529051,22.76571,
383,Amberly,Autumn,Buried Down,Buried,Control,1.199131692,83.02119418,
384,Amberly,Autumn,Buried Down,Buried,Control,3.508333351,51.12547699,
385,Amberly,Autumn,Buried Down,Buried,Control,4.248202054,11.37321748,
386,Amberly,Autumn,Buried Down,Buried,Control,1.417056021,19.38852414,
387,Amberly,Autumn,Buried Down,Buried,Glucose,4.077204759,18.51310884,1.39765908
388,Amberly,Autumn,Buried Down,Buried,Glucose,6.697660386,17.24348463,2.295946956
389,Amberly,Autumn,Buried Down,Buried,Glucose,11.19000217,12.58263918,3.835914324
390,Amberly,Autumn,Buried Down,Buried,Glucose,8.590686648,11.31990552,2.944873243
391,Amberly,Autumn,Buried Down,Buried,Glucose,3.559511753,,1.22019477
392,Amberly,Autumn,Buried Down,Buried,Glucose,11.78983759,9.157247841,4.041536918
393,Amberly,Autumn,Buried Down,Buried,Glucose,4.440727047,3.890658718,1.522273922
394,Amberly,Autumn,Buried Down,Buried,Glucose,11.3745789,28.03983699,3.899186924
360,Amberly,Autumn,Buried Up,Buried,Arabinose,10.58552616,13.20438204,6.553588415
361,Amberly,Autumn,Buried Up,Buried,Arabinose,7.287555811,13.65975391,4.511787193
362,Amberly,Autumn,Buried Up,Buried,Arabinose,3.35984688,8.527813953,2.080109507
363,Amberly,Autumn,Buried Up,Buried,Arabinose,7.001338338,13.02479234,4.334587544
364,Amberly,Autumn,Buried Up,Buried,Arabinose,9.79767563,12.08725928,6.065823518
365,Amberly,Autumn,Buried Up,Buried,Arabinose,8.529619784,14.18140653,5.280759462
366,Amberly,Autumn,Buried Up,Buried,Arabinose,4.731259352,9.331103571,2.929162521
367,Amberly,Autumn,Buried Up,Buried,Arabinose,4.314933146,11.53566778,2.67141146
368,Amberly,Autumn,Buried Up,Buried,Cellobiose,1.050913328,11.54672519,0.650629295
369,Amberly,Autumn,Buried Up,Buried,Cellobiose,0,0,0
370,Amberly,Autumn,Buried Up,Buried,Cellobiose,1.071420304,6.175932632,0.663325336
371,Amberly,Autumn,Buried Up,Buried,Cellobiose,0.975636064,7.834315394,0.604024506
