index,stream,season,reach,glucose.cr.area,glucose.cr.afdm,glucose.nrr,arabinose.cr.area,arabinose.cr.afdm,arabinose.nrr,cellobiose.cr.area,cellobiose.cr.afdm,cellobiose.nrr,control.cr.area,control.cr.afdm,Fmed200,As/A,CBOM.DM,CBOM.DM.CI,CBOM.AFDM,CBOM.AFDM.CI,FBOM.DM,FBOM.DM.CI,FBOM.AFDM,FBOM.AFDM.CI,PERI.DM,PERI.DM.CI,PERI.AFDM,PERI.AFDM.CI,Q,V.m.min,d.m,w.m,GPP.2,ER.2,GPP.1,ER.1,K20.day,K.N.m,K.N.m.95,Sw,Sw.95,Sw.dl,Vf.cm.s,Vf.95,Vf.dl,U.ug.m2.s,U.95,U.dl,DOC,TOC,NO3,NH4,DRP,TKN,TP,TSS,TEMP,daily.par,bamm.k20.cm.hr,bamm.GPP,bamm.CR,bamm.G,alg.cm2,bact.cm2,T.PERI.DM,T.PERI.DM.SE,T.PERI.AFDM,T.PERI.AFDM.SE,PERI.CHL.A.MG,N,C,C.N,DHA.2.DM,DHA.1.DM,DHA.1.C,DHA.2.C,A.GALA.DM,A.GALA.C,B.GALA.DM,B.GALA.C,B.GLUC.DM,B.GLUC.C,XYLO.DM,XYLO.C,NACE.DM,NACE.C,ALA.DM,ALA.C,LEU.DM,LEU.C,CELLO.DM,CELLO.C,SULF.DM,SULF.C,PHOS.DM,PHOS.C,DOPA.DM,DOPA.C,DOPAH2.DM,DOPAH2.C,GLYC,DOPA,CQI,BG,POX,LCI,Component 1,Component 2,Component 3,Component 4,HIX,BIX,FI,PRO,FUL,HUM,P2H
395,Amberly,Fall,buried  ,4.077204759,18.51310884,2.644698267,7.488538334,12.05154906,3.527370034,6.943373694,14.33083349,2.980694933,2.266196414,20.41532631,0.065262936,0.155733458,10.33,11.43,6.61,7.33,115.02,40.15,9.75,4.07,3.07,1.68,0.39,0.1,23.37,6.13,0.05,4.47,0,-0.85,0,-0.95,42,NA,NA,2578,NA,2578,0.000338,NA,0.000338,0.47,NA,0.47,4.49,4.8,258,6,90,1880,113,0,10.9,0,NA,NA,NA,NA,5143.675426,25912843.36,6.969132777,1.308816666,1.397354238,0.253277917,0.07,0.6,6.2185,12.09152778,,22148.39329,,363475.4733,267.2298879,4517.876907,406.8261399,6944.262759,5213.354385,82418.35668,368.4630334,5963.497779,1109.48858,17099.53739,1285.962934,20813.15556,1031.127938,16659.31786,433.142613,6926.224775,304.5822006,4801.618561,10076.84335,148206.1859,47.99817449,736162.0918,40.58122157,621.0399529,99842.91276,736167.5874,0.154069753,82417.70879,736167.5874,0.889752607,0.020674348,0.220254718,0.139998716,NA,0.842784,0.0979515,0.2622265,0.0078755,0.0747205,0.1458455,0.053559
430,Amberly,Fall,daylight,5.653886759,7.880926478,2.447401483,4.582485508,10.6560262,1.999700161,6.052456713,10.51632965,2.619930707,2.310159081,12.1838858,0.106063977,0.250768674,68.16,33.98,42.61,18.05,66.38,20.14,4.77,1.13,60.34,17.11,7.24,1.63,28.94,4.04,0.12,3.62,0.41,-0.65,0.2,-1.45,13,-0.0026,8.30E-05,379,24,,0.003374,0.000212,,10.79,0.68,,3.21,3.2,314,6,82,420,130,0,10.8,4.324608,6.42694786,0.286017076,1.207989477,0.894565424,1623810.325,77698248.5,31.00627143,8.540238338,5.521721378,1.392866092,34.73142236,0.627,8.53075,15.8732722,,5566.149681,,58345.35622,271.4830367,3007.149946,531.2721248,5824.61635,5357.254849,56193.12518,278.8309463,3197.948902,798.6354299,8394.546022,777.4205313,8936.687566,879.4865805,9636.129164,412.0351575,4422.940326,70.73018561,825.8275015,3311.626845,38779.50558,5.420725455,61346.93651,7.899668077,92.50293669,68223.31954,61347.4443,1.221273616,56193.54032,61347.4443,0.537024004,0.022543852,0.22511999,0.138021983,NA,0.9278515,0.0970545,0.2833135,0.009354,0.076322,0.1432645,0.0652845
677,Amberly,Spring,buried  ,6.944308812,8.502528913,1.623104371,8.659048546,6.494432787,1.607496318,8.079482149,9.64336121,1.854400714,7.238410928,7.937504113,NA,NA,20.48,22.16,7.89,13.06,65.43,12.63,6.51,1.2,1.57,0.45,0.25,0.06,27.33,6.56,0.05,4.49,0,-2.39,0,-1.86,27,NA,NA,NA,NA,,NA,NA,,NA,NA,,2.2,2.4,541,48.1,49,536,184,0,11,0,NA,NA,NA,NA,2370.775486,67655278.15,12.17834395,1.591672562,1.911807937,0.275000818,0.1,0.54875,6.36875,13.54024298,,25390.44405,,398033.3428,424.7172456,6688.678623,701.5396381,11039.17158,5924.818576,91679.60154,633.7253425,10235.3994,894.2359327,14461.13318,1759.800112,27843.67367,1481.162212,23423.58722,338.5842814,5463.610463,3996.016743,63335.88875,14404.49224,224436.1679,40.13786441,644497.5701,55.39926727,885.2789579,119644.748,644502.677,0.270378369,91681.33663,644502.677,0.839058083,0.336236288,0.516290879,0.312446493,0.247617525,0.873403,0.729253,1.27086,0.231955,0.440249,0.3194435,0.7261925
700,Amberly,Spring,daylight,4.004442734,3.806004785,1.468910564,4.03607132,5.92198493,1.480512569,3.484584709,15.60459925,1.278216129,2.726131075,5.217163617,0.117912149,0.233801368,25.18,17.35,19.01,13.46,162.27,25.84,15.29,2.38,28.06,6.53,3.58,0.71,26.76,2.27,0.19,3.91,0.39,-3.41,0.42,-3.82,16,-1.00E-04,5.00E-05,11391,19280,,6.10E-05,7.00E-05,,0.3,0.35,,2.3,2.5,499,34.6,43,281,118,0,12.6,NA,6.57921247,0.296350969,1.68251415,1.37442887,127853.9207,54758156.25,36.08476237,2.243565864,4.284501062,0.571310107,15.36679155,0.49175,6.6285,15.72597865,,38502.15494,,579083.0441,385.7054874,5789.66895,3061.283641,45986.16643,9708.267822,145653.4162,699.3470261,10535.75927,1294.09739,19582.30517,2478.966241,37415.80543,6511.176768,97999.36582,1446.787455,21491.46719,5635.697219,84548.02289,5590.908571,84435.35031,16.70331664,250249.463,20.56825058,307.8375525,207967.7198,250253.0223,0.853780616,145655.3868,250253.0223,0.632457104,0.364394893,0.523973781,0.321416128,0.25325134,0.853075,0.743785,1.2822035,0.273317,0.4559105,0.3256815,0.838922
195,Amberly,Summer,buried  ,3.079545972,25.28935189,1.647317996,6.276552012,15.35669038,2.554161254,8.30574188,18.85203974,3.739714135,4.710811033,20.77394441,0.165695243,0.297562943,3.49,2.35,2.2,1.9,234.76,95.03,16.55,6.7,2.37,0.32,0.33,0.07,14.13,1.91,0.04,3.73,0,-3.63,0,-0.55,19,-1.00E-04,8.00E-06,8065,1046,,4.70E-05,6.00E-06,,0.26,0.03,,3.36,3.18,538,13.5,104,394,140,0,21.5,0,NA,NA,NA,NA,143.101943,27135738.85,8.023811857,0.66231876,1.058526866,0.09429066,0.05,0.275,5.37,22.78181818,,15025.62984,,324943.5341,96.53855576,1728.193539,144.986828,3011.260643,1805.00014,36319.24291,163.6085779,3418.407579,743.6800017,16270.7914,774.0687859,16587.31314,549.8131259,11145.20849,212.2764376,4149.417411,151.2824856,3264.356993,1878.134052,35137.07576,36.88177245,756655.7914,52.3022198,1009.398511,44474.63218,756626.5302,0.062120732,36317.17781,756626.5302,0.952443015,0.845673623,0.919480105,0.591914473,0.454372168,0.8941785,0.745869,1.2521865,0.3662205,0.854038,0.5808085,0.630255
223,Amberly,Summer,daylight,4.378808614,8.571984054,8.069932105,3.415418988,42.95976791,6.294451706,1.406821291,5.76994925,2.592703473,0.542607863,21.82741587,0.134289717,0.165772007,56.42,20.87,47.48,18.22,222.57,27.32,18,2.07,26.48,3.07,2.45,0.41,2.82,0.79,0.12,3.82,0.17,-1.5,0.44,-3.42,10,-6.00E-04,1.80E-05,1795,119,,4.10E-05,3.00E-06,,0.2,0.01,,3.51,3.43,491,12.1,91,319,135,0,23,1.515744,4.15460674,0.513936523,3.21470836,2.69400603,200913.1293,73180509.39,26.60926017,8.691150601,3.926261637,1.944792077,5.457830552,0.53,5.3345,11.74261006,,17969.49218,,339289.6348,247.0580008,4657.330383,261.7888373,4924.627722,2799.662977,53225.17465,516.9808551,9705.710252,1547.322051,29343.98194,1179.289741,22023.93102,1167.95405,22043.8858,442.3957832,8283.802513,256.2565712,4837.31532,6216.780834,117215.7601,76.26715535,1451732.884,84.49629422,1608.909247,72512.38284,1451713.418,0.051901739,53224.82171,1451713.418,0.963537528,0.811328575,0.884205517,0.585994361,0.454614358,0.8599125,0.7513395,1.269515,0.410501,0.85139,0.5742435,0.7148915
533,Eastgate,Fall,buried  ,13.62812924,14.22899347,2.514011752,11.67766368,16.02599028,2.159098661,14.32931345,12.18056792,2.573932912,6.02312998,11.55124631,NA,NA,4.16,1.94,2.88,0.98,4.55,4.05,0.51,0.76,16.07,5.57,3.5,1.19,2.14,6.47,0.03,0.69,0,-0.1,0,-0.11,12,-2.00E-04,5.00E-06,5170,285,,6.00E-05,3.00E-06,,0.18,0.01,,4.16,3.87,289,6,24,341,75,0,11.3,0,NA,NA,NA,NA,384.5365061,61533814.08,11.70733301,1.14162513,1.814143394,0.208834919,0.09,0.60425,12.55025,24.23162322,20534.09806,49271.91142,162992.6391,391064.0182,2393.330374,18851.86349,4922.455584,38626.21647,38918.56569,307237.8381,1717.957399,13574.0136,1956.65696,15516.83107,4727.680348,37724.22719,5455.042654,43453.30372,6578.082176,51781.35457,376.987841,3016.773925,15942.25988,126084.1702,45.61778904,361818.9528,54.87903163,435.6256764,378287.9355,361817.5105,1.075821561,307236.2611,361817.5105,0.543977906,0.030224416,0.284039541,0.155802432,NA,0.928087,0.0977335,0.3616755,0.0035645,0.098237,0.171572,0.0205715
457,Eastgate,Fall,daylight,10.59871116,11.54081136,3.35370884,9.608346264,18.83854799,3.040331539,9.765429376,9.897226799,3.090036736,3.16029556,12.39652148,0.273255946,0.37703161,26.34,13.13,21.74,10.65,37.89,22.9,4.91,3.27,34.63,6.19,8.06,1.36,3.22,1.48,0.05,2.44,2.04,-7.08,1.82,-7.16,142,-0.002,0.000116,495,57,,0.000266,3.10E-05,,0.89,0.1,,4.34,4.23,331,6,24,322,71,0,9.8,NA,49.6500385,2.23705014,10.7526007,8.52144018,3242864.576,112369225.1,53.22929936,12.36426494,9.333170014,1.773363634,38.98184529,0.87175,11.432,15.29949336,83077.17427,64319.17781,706403.1889,658640.7563,865.9997708,7441.766171,646.1468962,5544.752295,8594.025033,78373.73737,389.7346541,3620.761237,1286.593762,12005.95543,1065.385994,9663.155522,1622.105737,13612.18196,596.810074,5916.295164,132.1081939,1226.977841,10475.38624,100181.5377,11.22898707,89722.37965,19.98964856,170.0370357,94982.08965,89723.09419,33.83964732,78374.62213,89723.09419,0.450184065,0.027400487,0.302483368,0.171625248,NA,0.957052,0.096307,0.3642815,0.00018,0.1023245,0.178447,0.001017
617,Eastgate,Spring,buried  ,20.15844916,12.65443386,2.795406485,18.52763117,15.61663741,2.560847061,20.61915447,15.21013547,2.853401124,7.417293877,15.52664457,0.016861236,0.067472067,1.66,2.42,0.87,1.48,1.13,0.49,0.3,0.1,49.57,15.93,7.8,1.95,2.39,7.49,0.04,0.6,0,NA,0,-1.04,123,NA,NA,1212,NA,1212,0.000333,NA,0.000333,0.78,NA,0.78,3.61,3.3,226,1.2,25,302,104,0,11.4,0,NA,NA,NA,NA,1900.697595,45159047.02,26.44683978,3.585601749,3.666829985,0.372742145,0.99,0.5595,7.73475,16.12846291,,29292.08763,,382607.181,384.819621,4959.166824,750.7270978,9775.293515,9203.671303,119142.1894,459.5480778,5933.182223,427.0493861,5520.331007,4573.242814,59447.3659,4751.358936,61943.45314,1292.795181,16880.85126,1464.375248,19206.75256,6139.376348,78882.46471,107.2685328,1393298.315,124.0573504,1611.186893,139805.1259,1393256.91,0.102723916,119138.1292,1393256.91,0.919890236,0.672691423,0.898188528,0.572120743,0.442665293,0.7047715,0.760913,1.2880675,1.1573515,1.118715,0.6638115,1.609179
557,Eastgate,Spring,daylight,13.72954177,11.93106136,1.938246443,11.81581781,12.48028888,1.668079476,11.66796313,15.50054633,1.647206325,7.083486115,14.48441969,0.178168191,0.27523532,4.89,1.93,2.66,1.28,49.81,9.6,5.82,1.02,349.31,29.9,56.39,8.07,3.45,1.69,0.07,2.29,2.9,-3.86,3.59,-4.89,58,-0.0043,1.50E-05,231,2,,0.00065,5.00E-06,,1.53,0.01,,4,3.9,259,1.2,26,279,137,0,10.4,NA,4.19906686,1.07059325,1.15849205,1.12245295,3329901.602,164170110.3,151.3346399,19.74380844,15.49975502,2.292394194,402.2671615,0.578,8.096,16.34140715,,18539.53368,,219862.8607,722.4102452,8349.770353,1102.776761,12870.4701,19416.96328,210632.8514,431.3567857,4906.105606,106.6178333,1408.65585,1683.155973,21421.36614,3246.558347,41471.77241,856.066953,9719.51219,4811.585065,58090.4176,7706.983311,97440.97332,7.923625361,97280.03286,12.41714398,155.6582613,236761.1807,97281.05144,2.325151402,210634.7366,97281.05144,0.39283725,0.721500448,1.063662756,0.642158075,0.526780668,0.8997255,0.728765,1.258001,0.359461,0.9000645,0.6539225,0.549652
