ID,Site,Season,Reach,Comp1,Comp2,Comp3
AMBBUFAS1,AMB,fall,buried,0.031940984,0.226651171,0.147690073
AMBBUFAS2,AMB,fall,buried,0.020674348,0.220254718,0.139998716
AMBDAFAS1,AMB,fall,day,0.024779225,0.225638519,0.137091036
AMBDAFAS2,AMB,fall,day,0.022543852,0.22511999,0.138021983
DR1BUFAS1,DR1,fall,buried,0.019998054,0.122285315,0.069754753
DR1BUFAS2 ,DR1,fall,buried,0.01928956,0.120606474,0.068180892
DR1DAFAS1 ,DR1,fall,day,0.018395878,0.122468112,0.068970143
DR1DAFAS2,DR1,fall,day,0.021028225,0.113558535,0.064416239
DR2BUFAS1,DR2,fall,buried,0.009896443,0.246270637,0.235984883
DR2BUFAS2 ,DR2,fall,buried,0,0.246319254,0.238031888
DR2DAFAS1,DR2,fall,day,0.037976286,0.148078305,0.107858962
DR2DAFAS2 ,DR2,fall,day,0.036540533,0.146778132,0.118258335
DR5BUFAS1 ,DR5,fall,buried,0.019003354,0.102965587,0.057241733
DR5BUFAS2 ,DR5,fall,buried,0.01808796,0.104142481,0.058099926
DR5DAFAS1,DR5,fall,day,0.018591001,0.094943564,0.051709342
DR5DAFAS2 ,DR5,fall,day,0.017329131,0.096057421,0.052580709
EASBUFAS1 ,EAS,fall,buried,0.025957009,0.294366857,0.169358162
EASBUFAS2 ,EAS,fall,buried,0.030224416,0.284039541,0.155802432
EASBUSPS1 ,EAS,spring,buried,2.278659539,1.309671229,0.393185456
EASDAFAS1 ,EAS,fall,day,0.02833043,0.301114186,0.168965379
EASDAFAS2 ,EAS,fall,day,0.027400487,0.302483368,0.171625248
ESTBUFAS1 ,EST,fall,buried,0.022020658,0.214517449,0.127177005
ESTBUFAS2 ,EST,fall,buried,0.029556997,0.21046836,0.107286352
ESTDAFAS1 ,EST,fall,day,0.024507116,0.232875575,0.140563995
ESTDAFAS2 ,EST,fall,day,0.021979242,0.224528413,0.136572214
