ID,Site,Season,Reach,Comp1,Comp2,Comp3,Comp4
AMBBUSUS1,AMB,summer,buried,0.798049655,0.91059719,0.580436303,0.448527909
AMBBUSUS2,AMB,summer,buried,0.845673623,0.919480105,0.591914473,0.454372168
AMBDASUS1,AMB,summer,day,0.816983433,0.883055322,0.586183078,0.44509614
AMBDASUS2,AMB,summer,day,0.811328575,0.884205517,0.585994361,0.454614358
D1BUSUS1,DR1,summer,buried,0.431789573,0.518527651,0.289348209,0.273505354
D1BUSUS2,DR1,summer,buried,0.416655681,0.520439347,0.289251636,0.26983025
D1DASUS1,DR1,summer,day,0.433470157,0.493770929,0.288560518,0.259322816
D1DASUS2,DR1,summer,day,0.449071359,0.454340266,0.281827931,0.251294044
D2BUSUS1,DR2,summer,buried,0.480604983,0.857220325,0.468727811,0.433515478
D2BUSUS2,DR2,summer,buried,0.481528402,0.874724332,0.463145984,0.44091541
D2DASUS1,DR2,summer,day,0.459172685,0.594463543,0.335811888,0.313759514
D2DASUS2,DR2,summer,day,0.456257907,0.6172516,0.342437534,0.327816575
D5BUSUS1,DR5,summer,buried,3.085153812,1.884516858,1.332237025,1.273074634
D5BUSUS2,DR5,summer,buried,3.037492853,1.887077416,1.327896675,1.279801249
D5DASUS1,DR5,summer,day,2.207767609,1.507923681,1.006843218,0.866914335
D5DASUS2 ,DR5,summer,day,2.227338381,1.509257488,1.010964537,0.87741051
DR2BUSPS1 ,DR2,spring,buried,1.002684112,1.145342365,0.693660731,0.631694399
DR2BUSPS2 ,DR2,spring,buried,1.011648396,1.165232325,0.703593701,0.643765431
DR2DASPS1 ,DR2,spring,day,0.56032135,0.621913066,0.386782299,0.320905887
DR2DASPS2 ,DR2,spring,day,0.609228334,0.65839949,0.406699371,0.345964652
EASBUSUS1 ,EAS,summer,buried,1.028005429,1.398675034,0.845802306,0.720660198
EASBUSUS2 ,EAS,summer,buried,0.912060944,1.134738306,0.70924485,0.567729599
EASDASUS1 ,EAS,summer,day,1.07488968,1.310665044,0.809593259,0.661284365
EASDASUS2 ,EAS,summer,day,1.117743423,1.249088405,0.790964678,0.681663025
ESTBUSUS1 ,EST,summer,buried,0.60389382,0.702810686,0.431825793,0.353058067
